IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.18.138.180,4,4,0.00,200.45,0.00,LAX,443
104.24.17.151,4,4,0.00,200.46,0.00,LAX,443
104.16.231.120,4,4,0.00,200.47,0.00,LAX,443
104.18.133.69,4,4,0.00,200.49,0.00,LAX,443
104.18.183.196,4,4,0.00,200.49,0.00,LAX,443
104.18.177.189,4,4,0.00,200.49,0.00,LAX,443
104.16.125.110,4,4,0.00,200.50,0.00,LAX,443
104.19.185.115,4,4,0.00,200.50,0.00,LAX,443
104.19.170.214,4,4,0.00,200.50,0.00,LAX,443
104.18.139.230,4,4,0.00,200.51,0.00,LAX,443
172.67.172.86,4,4,0.00,200.51,0.00,SEA,443
104.19.174.147,4,4,0.00,200.52,0.00,LAX,443
104.20.54.222,4,4,0.00,200.54,0.00,FRA,443
104.20.49.97,4,4,0.00,200.54,0.00,FRA,443
104.25.96.158,4,4,0.00,200.56,0.00,LAX,443
104.27.202.32,4,4,0.00,200.58,0.00,LAX,443
172.64.176.220,4,4,0.00,200.60,0.00,LAX,443
104.18.126.35,4,4,0.00,200.60,0.00,LAX,443
104.18.137.20,4,4,0.00,200.60,0.00,LAX,443
104.18.176.103,4,4,0.00,200.62,0.00,LAX,443
104.19.189.5,4,4,0.00,200.62,0.00,LAX,443
104.24.7.173,4,4,0.00,200.62,0.00,LAX,443
172.67.175.137,4,4,0.00,200.64,0.00,SEA,443
172.64.185.2,4,4,0.00,200.64,0.00,LAX,443
104.19.181.52,4,4,0.00,200.65,0.00,LAX,443
104.19.175.23,4,4,0.00,200.65,0.00,LAX,443
104.27.25.118,4,4,0.00,200.66,0.00,LAX,443
104.18.178.67,4,4,0.00,200.66,0.00,LAX,443
104.18.174.238,4,4,0.00,200.66,0.00,LAX,443
104.19.194.195,4,4,0.00,200.66,0.00,LAX,443
104.24.161.58,4,4,0.00,200.67,0.00,LAX,443
172.65.46.167,4,4,0.00,200.68,0.00,SEA,443
